['uniq_id', 'initial_sal_', 'final_sal', 'mean_salary', 'period', 'period_cond', 'job', 'job_type', 'city', 'state', 'organization_', 'org_desc', 'sector_', 'sector_level', 'benefits']
['b43c077756d5a326c4854e1399fd2464', '900.0', '1300.0', '1100.0', 'hour', '', 'primrose private preschool teacher ', 'full time', 'houston', ' tx 77098', 'education', '', 'entry', 'level', '']
['d8491fcefe14d1398de419984dccf427', '8000000.0', '9500000.0', '8750000.0', 'year', '', 'superintendent ', 'full time', 'houston', ' tx', 'construction', '  industrial facilities  infrastructureconstruction   residential  commercial office', 'building', 'construction/skilled trades', '']
['779bb4c9bf038b7fb775134736d36fd4', '7000000.0', '10000000.0', '8500000.0', 'year', '', 'sr process engineer', 'full time', 'sr. process engineer', ' manufacturing', 'chicago', ' il', 'engineering', '', '']
['ceb44cca7cd280adcb0c84c20f3c6c21', '6800000.0', '7200000.0', '7000000.0', 'year', '', 'rf system tech', 'full time temporary', 'rf system technician', ' field service', 'oklahoma', 'city  ok', 'engineering', '', '']
['eea9b50afc4fece9f9d6ff0dbf659784', '5800000.0', '6500000.0', '6150000.0', 'year', '', 'japanese', 'full time', 'charleston', ' wv', 'manufacturing', '  other', 'experienced', '(non-manager)', '']
['1f2da47e60173c6667395f081c048713', '3200000.0', '0.0', '3200000.0', '', '', 'office admin', 'full time', 'denver', ' co 80237', 'other', 'not classified', 'experienced', '(non-manager)', '']
['f15dfb5ad12ddb6acb8a26eb04f2220f', '4500000.0', '10000000.0', '7250000.0', 'year', 'bonus', 'upscale casual restaurant mgr', 'full time', 'houston', ' tx', 'restaurant', 'food services', 'manager', '(manager/supervisor of staff)', '"benefits', ' 401k"']
['ea722c991c6d3816965702948e320cb6', '4000000.0', '5000000.0', '4500000.0', 'year', 'salar', 'commercial lines account mgr ', 'full time', 'ocean', ' nj 07712', 'insurance', '', 'experienced', '(non-manager)', '']
['3c2f7c555173e04db07a96b23c1be974', '1375.0', '1675.0', '1525.0', 'hour', 'yea', 'local', 'full time', 'denver', ' co 80216', 'walter', 'industrial  sanitary supply', 'experienced', '(non-manager)', 'end bonus']
['84422981a6356a19a6a4b53aa460e028', '3500000.0', '4500000.0', '4000000.0', 'year', '', 'designer d ', 'full time', 'bethlehem', ' pa 18017', 'manufacturing', '  other', 'experienced', '(non-manager)', '']
